43235,39682,31239,34516,36749,39811,28486,40663,35728,19760,32758,36174,30030,36733,36360,35700,31998,35199,24316,34903,35465,40640,25622,32423,41140,30824,33509,36798,35467,26043,30051,30035,32599,38766,34263,29550,35282,30997,28672,30233,28041,40217,27338,38879,47346,36042,36055,39620,38207,35560,28943,39067,40126,23123,27464,28245,32221,28914,38954,31766,31789,37988,30090,30869,42926,36897,33200,27103,20024,30055,35070,33753,32888,38642,32036,34884,38734,27293,29441,25131,31557,27531,40690,39250,33170,35371,32549,35124,24480,25338,26052,33527,25801,24379,34230,27608,24326,44340,29775,34482,28692,36724,28869,32762,27348,24802,27574,32559,36113,36535,32222,34363,43958,34827,26375,27746,23213,38146,36090,38204
30584,27761,38125,26921,25440,29056,39714,33729,33573,35086,27542,38811,29368,39023,38017,30700,30486,26112,40000,28931,28267,34423,39475,40319,34653,36911,35237,38387,31297,35391,37121,28397,35843,28072,35204,37712,26535,33870,33880,45630,35581,33455,37522,36163,36396,27971,35155,38281,35277,31269,33769,34734,33979,31136,38250,28447,36345,29626,35599,26863,24409,29339,27816,33990,28158,34480,30308,32866,32443,33497,36236,35703,24551,30123,33004,31399,28913,33171,33117,30323,26906,30099,34215,34953,29029,27260,27476,30271,24978,34239,30518,31656,29711,30503,26314,34746,30530,36261,35452,36227,21204,26269,21181,32059,37472,38915,30113,35776,37172,25157,33437,25041,23686,32847,30182,35011,36010,35172,32280,33100
32584,29111,37626,36519,27583,28107,37195,39427,27065,32988,37199,38724,32651,23791,43419,34357,36848,27619,32018,30907,28289,21642,28655,25806,34149,40556,31513,28996,33276,29666,33558,36500,31895,34639,33868,41875,29222,32691,26541,31418,28201,28610,31828,32367,47996,37267,34966,37865,36531,28569,28511,35797,29296,29584,40116,27179,28360,34398,38417,29548,36972,37804,33911,33511,38422,30297,26358,36042,30161,30853,30497,32572,38260,36591,35455,41299,43318,42046,33209,33481,37408,35809,35792,36106,35520,26360,35503,48555,32573,36064,29533,37140,32829,39925,31509,41615,28698,36689,36669,22942,31915,26307,31109,38117,36569,31322,25652,28224,39062,36541,19520,25641,34905,36079,34220,34096,29128,32428,30544,41669
37868,34965,33482,26494,34796,41978,34830,35866,36561,26827,29393,32492,33557,30508,32958,37861,37546,39387,35802,28292,32896,28751,27047,38367,37392,29467,34412,31223,36359,34943,30122,33498,38898,38986,30893,35058,27054,26408,34894,21967,37073,32909,27536,37014,39603,34713,31456,30581,37307,36688,30369,33059,30536,25829,30485,36567,40236,36944,31045,29022,25963,37280,29901,34020,41094,33832,32714,29525,38070,31323,35778,34880,28271,23133,30079,37869,35192,38912,32983,24455,34536,36758,31936,27235,34873,32966,33397,27834,24504,32904,30520,33417,24852,38153,29268,35369,27781,38296,34606,33504,23073,40246,33058,28360,32176,33111,37388,24188,33485,34129,27132,36646,35958,36977,33506,26763,24422,34324,33746,35343
34071,30792,26645,26932,30558,32374,37528,21700,23784,35168,38219,27258,34632,30678,34911,41354,26429,24755,37852,38050,37127,23451,37169,28923,32261,29229,34557,27590,33598,32678,38470,30145,37418,30483,32553,36972,33210,37460,31144,30329,30724,29942,35931,34096,42067,28216,32519,29981,31548,35644,23048,26271,27620,28035,37669,36939,29480,31836,26542,37837,24642,36769,27322,28498,30306,23596,39693,37565,35743,32093,32250,32656,42537,29991,33776,30145,30023,32179,30802,37221,26485,35144,25312,33964,38893,28378,37183,34991,38724,36278,33982,34785,22181,36652,38124,34196,41491,29698,32999,29519,44916,32798,31016,29011,32929,32577,27920,30377,31544,32620,31943,38618,27724,31114,34493,28395,32192,33301,30143,30283
32079,31338,31682,29471,36687,20459,28720,22477,28454,33533,35535,32052,37055,40315,29751,24527,38984,34714,34980,27798,35880,38466,31952,38301,37382,29751,32863,31420,37221,32342,30664,33020,31900,35059,28412,30617,29389,42202,32065,32562,32459,24150,42561,33522,27826,36753,36657,34082,32900,35000,31271,27047,39262,37974,38022,32697,37982,30561,32161,29604,37532,31544,38103,38910,25296,39168,35751,36787,36739,25660,36427,34777,34307,40730,36211,24791,24172,29744,26690,35248,41601,32753,30393,32874,38007,35692,31154,26577,43247,36946,27232,30484,30361,30095,23641,33767,34080,34410,36120,36167,28873,32630,24355,34167,33147,34799,32217,41063,31348,39125,33871,28178,32876,29362,42219,34292,37457,33649,31455,25795
25437,34688,31311,28456,37941,36120,36698,27267,32171,32001,32455,30926,36052,34612,30749,30255,35979,33470,33077,29939,33720,29504,31426,35147,37341,32976,38698,29719,32219,33336,28505,33509,29073,32053,36828,24292,33882,29929,27713,38052,35195,29747,33674,34554,39082,38122,28553,37641,32980,30972,34482,21860,36810,36585,35521,37587,29271,30376,31614,34093,31171,30927,30906,33163,24250,39757,34583,34938,39423,30613,30796,27577,38671,38682,32922,39803,33084,32739,30757,30835,25843,38712,35600,31030,42031,39348,37430,36717,35001,39720,29928,30396,32434,32025,37075,43208,30916,34779,37319,32339,48419,34411,44049,33836,28222,32151,34817,33370,30654,38363,36700,36080,29875,30191,33313,25452,42220,33104,31283,39141
29334,36318,37516,33235,34951,37241,28043,27653,36634,25967,32162,27959,30661,27632,19643,38547,37902,35899,34098,28962,29037,34301,27477,28613,33793,39934,37088,27046,35839,28495,26803,26348,32474,29697,22750,34873,35562,39857,37197,35098,30415,41260,34007,34270,19830,36377,29905,32241,32669,31471,39366,37493,39146,37503,29611,33010,27872,36600,26954,32911,38877,30116,36501,27018,34537,34345,32094,31695,22436,31574,40471,38171,34009,37878,32073,29072,37034,37708,20644,27802,30146,25349,31567,35649,39878,38122,36142,35436,37800,33179,29710,32972,30923,33673,32980,24504,28950,35618,30899,42206,35990,36250,33020,36842,37912,23910,31680,27325,30328,34595,34688,32060,40658,36930,28173,41592,35177,38182,44949,33872
29362,27240,38707,34283,37507,28704,35286,30023,27884,44142,38242,28408,33974,33687,26987,28066,24857,26175,30511,37650,33095,38881,40566,29768,24315,24489,25417,29820,39058,43301,35473,31693,33925,37064,35492,43747,29372,32620,29627,31379,27714,35783,30222,26642,22080,28870,31341,26774,33269,33326,29743,30376,23841,31162,31941,37559,31804,34833,32913,31056,34354,28787,34759,30589,33316,35331,33135,31783,30630,40775,40712,37469,32337,41802,36168,37447,38098,26388,30261,42727,36653,33562,37133,39728,30996,30289,28070,30811,24291,40159,38233,23779,29001,30716,36285,29257,29749,25060,30508,35283,26534,32315,32872,27939,34874,35152,29570,25390,39300,31687,38448,28665,33941,40203,35046,29180,35467,36747,23783,32256
32580,33721,34775,32871,37785,31829,39451,28441,27301,36875,31787,35697,29540,26681,33267,31959,16456,20744,37554,31270,34746,29490,39418,24433,20345,28545,33034,34789,36795,38167,30002,35726,26354,37581,38251,34508,28008,33852,40021,30433,32356,32821,26963,23230,31973,32868,31150,32617,37285,35183,36419,29578,30164,39213,39548,37184,26209,39167,37400,32162,36547,29666,40440,33145,25533,32108,39226,32315,41740,35657,32723,33017,27577,26150,25821,35667,27077,32683,33964,43000,26569,26683,34714,40995,22740,37446,35330,29802,40261,29146,35564,35793,35552,34323,32905,32259,34683,18220,36872,23358,44112,35365,33265,30660,32812,41294,29854,24948,34441,35516,35203,34591,22446,39825,38460,30962,38516,33989,27511,37898
26518,29810,36832,35287,33294,31889,41109,29967,37851,40870,27560,31759,35704,30797,32839,33205,14983,34459,42685,34671,33569,34339,39527,39775,29572,26194,35397,31413,33877,32328,35810,29388,31286,39641,34802,30913,34428,25589,40228,36721,30857,34808,33341,33559,40207,21359,36839,36175,32587,27885,36728,23326,33676,30266,39938,33712,39365,31499,40866,18444,28676,27554,31180,29729,20685,31198,29607,29625,37635,32635,20615,29108,24869,29102,26547,34732,22871,35201,33953,35787,23403,33257,31541,30914,25676,31085,33258,38124,30416,40707,33505,27673,39106,35911,32861,30626,36131,38211,35895,35686,42497,32161,42239,29704,37752,27887,26365,35241,37763,37956,28765,32567,35995,33945,30404,27799,43467,33745,31244,36038
